src,dst,weight,type
1,3208,0.633,CITES
1,4363,2.252,CITES
1,5104,3.902,COLLABORATES
1,5808,0.449,COLLABORATES
1,6149,3.45,COLLABORATES
1,6335,4.752,COLLABORATES
1,6722,4.298,REFERENCES
1,7797,3.34,CITES
1,7864,4.111,CITES
1,8952,3.167,REFERENCES
1,10253,4.816,CITES
1,10528,3.907,CITES
1,11229,3.533,CITES
1,11482,2.961,COLLABORATES
1,12121,2.412,CITES
1,12553,1.875,COLLABORATES
1,13676,0.588,REFERENCES
1,13728,1.344,COLLABORATES
1,14341,1.463,REFERENCES
1,14610,2.155,COLLABORATES
1,16107,3.829,REFERENCES
1,16425,2.575,CITES
2,9636,1.331,COLLABORATES
3,3398,0.512,REFERENCES
3,6792,2.757,CITES
3,12310,2.592,CITES
3,13996,4.347,CITES
3,15468,4.333,REFERENCES
4,2474,0.722,REFERENCES
5,4076,3.446,COLLABORATES
5,6249,3.86,REFERENCES
5,6774,3.019,REFERENCES
5,7803,0.87,REFERENCES
5,8218,2.342,REFERENCES
5,9544,1.691,REFERENCES
5,12324,0.552,COLLABORATES
5,14732,4.586,COLLABORATES
6,3930,4.86,REFERENCES
7,68,4.963,CITES
7,278,4.456,REFERENCES
7,1606,3.337,COLLABORATES
7,1854,1.765,REFERENCES
7,1983,1.35,COLLABORATES
7,3052,1.25,REFERENCES
7,3553,0.858,REFERENCES
7,3733,1.517,REFERENCES
7,4148,4.231,REFERENCES
7,4174,2.522,CITES
7,6592,3.256,COLLABORATES
7,6593,3.785,COLLABORATES
7,6594,2.047,REFERENCES
7,8113,3.401,COLLABORATES
7,8287,2.149,COLLABORATES
7,8820,4.283,COLLABORATES
7,9339,4.634,COLLABORATES
7,9755,2.703,COLLABORATES
7,10688,1.316,CITES
7,10689,1.818,REFERENCES
7,10787,0.588,REFERENCES
7,10884,2.327,COLLABORATES
7,11590,0.721,REFERENCES
7,11755,2.901,COLLABORATES
7,12527,2.264,COLLABORATES
