id,name,category,year,score
1,Entity_1,Engineering,2011,3.48
2,Entity_2,Mathematics,2013,23.1
3,Entity_3,Engineering,2011,67.99
4,Entity_4,Economics,2011,59.46
5,Entity_5,ComputerScience,2010,10.28
6,Entity_6,Physics,2018,60.6
7,Entity_7,Economics,2013,71.89
8,Entity_8,Engineering,2018,42.53
9,Entity_9,Biology,2019,28.54
10,Entity_10,ComputerScience,2022,80.78
11,Entity_11,Engineering,2016,34.68
12,Entity_12,Physics,2013,95.76
13,Entity_13,Mathematics,2011,10.18
14,Entity_14,ComputerScience,2015,84.9
15,Entity_15,Economics,2014,80.91
16,Entity_16,Engineering,2017,54.09
17,Entity_17,Biology,2011,55.65
18,Entity_18,Engineering,2019,88.66
19,Entity_19,Mathematics,2019,20.04
20,Entity_20,ComputerScience,2010,66.47
21,Entity_21,Mathematics,2011,85.68
22,Entity_22,ComputerScience,2016,28.52
23,Entity_23,Engineering,2023,37.12
24,Entity_24,Mathematics,2015,21.74
25,Entity_25,Mathematics,2021,93.73
26,Entity_26,Engineering,2011,61.3
27,Entity_27,Physics,2018,73.18
28,Entity_28,Physics,2017,38.57
29,Entity_29,Engineering,2021,56.14
30,Entity_30,Engineering,2015,84.44
31,Entity_31,ComputerScience,2013,82.36
32,Entity_32,Mathematics,2016,27.51
33,Entity_33,Physics,2024,94.35
34,Entity_34,Engineering,2015,22.05
35,Entity_35,Biology,2016,88.58
36,Entity_36,Engineering,2017,15.14
37,Entity_37,Physics,2013,74.75
38,Entity_38,Economics,2014,74.95
39,Entity_39,Biology,2024,58.77
40,Entity_40,Mathematics,2013,99.74
41,Entity_41,Physics,2018,49.86
42,Entity_42,ComputerScience,2023,11.86
43,Entity_43,Engineering,2012,79.42
44,Entity_44,Biology,2019,7.29
45,Entity_45,Biology,2019,99.62
46,Entity_46,Economics,2014,97.14
47,Entity_47,ComputerScience,2020,72.35
48,Entity_48,Engineering,2024,54.16
49,Entity_49,Mathematics,2022,64.46
50,Entity_50,ComputerScience,2014,44.04
51,Entity_51,Biology,2010,95.43
52,Entity_52,Engineering,2014,97.22
53,Entity_53,Physics,2018,91.35
54,Entity_54,Engineering,2014,84.33
55,Entity_55,Economics,2019,20.69
56,Entity_56,Mathematics,2022,16.99
57,Entity_57,Economics,2024,1.06
58,Entity_58,Mathematics,2017,2.93
59,Entity_59,Mathematics,2024,98.55
60,Entity_60,Mathematics,2013,6.73
61,Entity_61,Economics,2011,9.48
62,Entity_62,Biology,2023,7.85
63,Entity_63,Economics,2022,13.45
64,Entity_64,Engineering,2017,94.74
65,Entity_65,Physics,2014,53.24
66,Entity_66,Economics,2016,96.47
67,Entity_67,Economics,2022,73.26
68,Entity_68,Physics,2021,31.86
69,Entity_69,Engineering,2020,37.97
70,Entity_70,Economics,2017,12.98
71,Entity_71,Physics,2011,34.47
72,Entity_72,Economics,2018,23.78
73,Entity_73,Physics,2010,8.03
74,Entity_74,Engineering,2010,23.67
75,Entity_75,ComputerScience,2023,33.71
76,Entity_76,Economics,2013,28.57
77,Entity_77,Biology,2013,54.38
78,Entity_78,Engineering,2024,88.36
79,Entity_79,Economics,2017,25.06
80,Entity_80,Biology,2022,41.3
81,Entity_81,ComputerScience,2011,66.24
82,Entity_82,Mathematics,2016,41.7
83,Entity_83,Engineering,2010,67.66
84,Entity_84,Engineering,2011,7.0
85,Entity_85,Engineering,2015,80.26
86,Entity_86,ComputerScience,2013,19.97
87,Entity_87,Economics,2017,14.88
88,Entity_88,Physics,2014,46.8
89,Entity_89,ComputerScience,2017,80.99
90,Entity_90,Economics,2011,6.01
91,Entity_91,Economics,2023,2.46
92,Entity_92,ComputerScience,2024,75.6
93,Entity_93,Physics,2012,41.23
94,Entity_94,Biology,2013,86.6
95,Entity_95,ComputerScience,2012,38.52
96,Entity_96,Biology,2014,92.73
97,Entity_97,Biology,2014,42.88
98,Entity_98,Engineering,2022,56.02
99,Entity_99,Engineering,2017,16.32
100,Entity_100,Mathematics,2013,96.9
101,Entity_101,Economics,2021,54.68
102,Entity_102,Engineering,2015,6.66
103,Entity_103,Economics,2017,50.78
104,Entity_104,Economics,2012,6.63
105,Entity_105,Economics,2011,85.28
106,Entity_106,ComputerScience,2019,7.73
107,Entity_107,Physics,2016,12.87
108,Entity_108,Economics,2013,58.31
109,Entity_109,ComputerScience,2019,9.12
110,Entity_110,Engineering,2019,56.96
111,Entity_111,Mathematics,2024,26.82
112,Entity_112,Engineering,2021,32.1
113,Entity_113,Mathematics,2016,13.96
114,Entity_114,Engineering,2014,46.27
115,Entity_115,ComputerScience,2010,46.37
116,Entity_116,Economics,2011,8.25
117,Entity_117,Physics,2018,27.25
118,Entity_118,Mathematics,2024,7.81
119,Entity_119,Physics,2015,29.21
120,Entity_120,Biology,2023,54.78
121,Entity_121,Mathematics,2019,98.4
122,Entity_122,Engineering,2018,1.77
